pes,min,avg,max
24,0.036,0.097,0.198
48,0.053,0.100,0.189
96,2.750,5.397,10.201
192,7.224,16.645,20.917
384,0.106,6.866,7.732
768,11.968,23.163,30.691
1536,0.117,2.861,3.929
